Pokemon,Usage %,Raw,%,Real,%
Groudon-Primal,54.58%,220,49.55%,151,46.89%
Xerneas,31.27%,132,29.73%,79,24.53%
Arceus,25.49%,101,22.75%,61,18.94%
Kyogre-Primal,21.51%,96,21.62%,62,19.26%
Darkrai,21.24%,92,20.72%,72,22.36%
Yveltal,20.20%,76,17.12%,52,16.15%
Aegislash,17.01%,83,18.69%,62,19.26%
Shaymin-Sky,13.56%,47,10.59%,24,7.45%
Scizor-Mega,13.22%,49,11.04%,33,10.25%
Arceus-Ground,13.17%,47,10.59%,34,10.56%
Lucario-Mega,12.74%,57,12.84%,38,11.80%
Salamence-Mega,11.73%,48,10.81%,31,9.63%
Gengar-Mega,11.65%,52,11.71%,40,12.42%
Giratina-Origin,11.36%,47,10.59%,38,11.80%
Deoxys-Attack,9.89%,40,9.01%,26,8.08%
Mewtwo-Mega-X,9.86%,42,9.46%,34,10.56%
Deoxys-Speed,9.79%,39,8.78%,36,11.18%
Blaziken-Mega,9.74%,48,10.81%,33,10.25%
Latias,9.35%,31,6.98%,31,9.63%
Kyogre,9.15%,32,7.21%,22,6.83%
Scolipede,9.01%,30,6.76%,26,8.08%
Lugia,8.06%,32,7.21%,22,6.83%
Garchomp,7.11%,39,8.78%,34,10.56%
Ho-Oh,7.05%,30,6.76%,26,8.08%
Rayquaza,6.77%,33,7.43%,24,7.45%
Klefki,6.55%,21,4.73%,18,5.59%
Genesect,6.27%,29,6.53%,22,6.83%
Greninja,5.55%,31,6.98%,26,8.08%
Breloom,4.64%,24,5.41%,12,3.73%
Groudon,4.18%,15,3.38%,11,3.42%
Dialga,4.15%,18,4.05%,14,4.35%
Cloyster,4.03%,17,3.83%,15,4.66%
Scizor,3.86%,19,4.28%,11,3.42%
Toxicroak,3.80%,20,4.51%,16,4.97%
Kangaskhan-Mega,3.55%,17,3.83%,13,4.04%
Serperior,3.34%,15,3.38%,14,4.35%
Excadrill,3.31%,18,4.05%,14,4.35%
Zekrom,3.23%,16,3.60%,12,3.73%
Whimsicott,3.12%,15,3.38%,12,3.73%
Snorlax,3.06%,16,3.60%,13,4.04%
Zoroark,3.02%,13,2.93%,11,3.42%
Delphox,2.95%,16,3.60%,14,4.35%
Giratina,2.95%,14,3.15%,7,2.17%
Smeargle,2.91%,13,2.93%,11,3.42%
Infernape,2.82%,16,3.60%,13,4.04%
Luxray,2.79%,15,3.38%,12,3.73%
Clawitzer,2.76%,12,2.70%,9,2.80%
Arceus-Ghost,2.75%,9,2.03%,5,1.55%
Chansey,2.69%,13,2.93%,10,3.11%
Skarmory,2.65%,15,3.38%,12,3.73%
Clefable,2.58%,13,2.93%,6,1.86%
Charizard,2.54%,12,2.70%,11,3.42%
Heatran,2.53%,14,3.15%,10,3.11%
Arceus-Water,2.49%,9,2.03%,6,1.86%
Mew,2.48%,13,2.93%,12,3.73%
Tyranitar,2.48%,13,2.93%,9,2.80%
Tentacruel,2.47%,11,2.48%,6,1.86%
Mawile-Mega,2.40%,11,2.48%,9,2.80%
Latios,2.32%,6,1.35%,4,1.24%
Arceus-Fairy,2.27%,11,2.48%,9,2.80%
Dragonite,2.27%,13,2.93%,9,2.80%
Ninjask,2.21%,12,2.70%,10,3.11%
Arceus-Dark,2.17%,11,2.48%,6,1.86%
Cofagrigus,2.12%,10,2.25%,7,2.17%
Arceus-Flying,2.10%,5,1.13%,1,0.31%
Garchomp-Mega,2.01%,11,2.48%,10,3.11%
Charizard-Mega-X,2.00%,10,2.25%,8,2.48%
Pinsir-Mega,1.96%,9,2.03%,7,2.17%
Kyurem-Black,1.96%,9,2.03%,5,1.55%
Weavile,1.85%,9,2.03%,7,2.17%
Mewtwo-Mega-Y,1.82%,10,2.25%,7,2.17%
Staraptor,1.69%,8,1.80%,5,1.55%
Palkia,1.66%,9,2.03%,4,1.24%
Shuckle,1.63%,9,2.03%,9,2.80%
Blaziken,1.63%,9,2.03%,6,1.86%
Landorus-Therian,1.43%,7,1.58%,7,2.17%
Gyarados,1.42%,7,1.58%,7,2.17%
Metagross-Mega,1.42%,7,1.58%,3,0.93%
Togekiss,1.38%,8,1.80%,6,1.86%
Aerodactyl-Mega,1.37%,6,1.35%,6,1.86%
Ditto,1.37%,7,1.58%,6,1.86%
Hoopa-Unbound,1.32%,7,1.58%,2,0.62%
Hippowdon,1.32%,7,1.58%,7,2.17%
Mamoswine,1.32%,7,1.58%,4,1.24%
Dusknoir,1.27%,6,1.35%,4,1.24%
Deoxys-Defense,1.27%,6,1.35%,4,1.24%
Sableye-Mega,1.22%,7,1.58%,5,1.55%
Linoone,1.22%,5,1.13%,4,1.24%
Electivire,1.16%,6,1.35%,6,1.86%
Porygon2,1.11%,5,1.13%,2,0.62%
Clamperl,1.11%,5,1.13%,5,1.55%
Azelf,1.11%,5,1.13%,5,1.55%
Mewtwo,1.10%,5,1.13%,2,0.62%
Raikou,1.07%,7,1.58%,6,1.86%
Zygarde,1.00%,5,1.13%,3,0.93%
Nidoking,1.00%,5,1.13%,4,1.24%
Thundurus-Therian,1.00%,5,1.13%,5,1.55%
Salamence,0.99%,4,0.90%,2,0.62%
Gardevoir-Mega,0.96%,7,1.58%,7,2.17%
Hydreigon,0.95%,6,1.35%,6,1.86%
Manaphy,0.90%,5,1.13%,3,0.93%
Ninetales,0.90%,5,1.13%,4,1.24%
Heliolisk,0.85%,4,0.90%,4,1.24%
Arceus-Electric,0.85%,4,0.90%,4,1.24%
Medicham-Mega,0.85%,4,0.90%,2,0.62%
Alakazam,0.85%,4,0.90%,2,0.62%
Venusaur-Mega,0.79%,5,1.13%,3,0.93%
Gliscor,0.74%,4,0.90%,4,1.24%
Celebi,0.74%,4,0.90%,0,0.00%
Conkeldurr,0.74%,4,0.90%,3,0.93%
Zapdos,0.74%,4,0.90%,3,0.93%
Diancie-Mega,0.74%,3,0.68%,2,0.62%
Landorus,0.74%,4,0.90%,4,1.24%
Sceptile-Mega,0.72%,5,1.13%,3,0.93%
Ferrothorn,0.71%,4,0.90%,4,1.24%
Amoonguss,0.70%,4,0.90%,2,0.62%
Wobbuffet,0.69%,3,0.68%,2,0.62%
Doublade,0.69%,3,0.68%,3,0.93%
Crobat,0.69%,3,0.68%,3,0.93%
Blissey,0.69%,3,0.68%,2,0.62%
Kyurem-White,0.69%,3,0.68%,2,0.62%
Ambipom,0.69%,3,0.68%,2,0.62%
Lopunny,0.69%,3,0.68%,1,0.31%
Aurorus,0.69%,4,0.90%,3,0.93%
Kingdra,0.64%,4,0.90%,4,1.24%
Empoleon,0.62%,4,0.90%,1,0.31%
Arceus-Steel,0.60%,4,0.90%,3,0.93%
Blastoise-Mega,0.58%,3,0.68%,3,0.93%
Quagsire,0.58%,3,0.68%,3,0.93%
Hariyama,0.58%,3,0.68%,3,0.93%
Nidorino,0.58%,3,0.68%,3,0.93%
Tyranitar-Mega,0.58%,2,0.45%,2,0.62%
Aggron-Mega,0.57%,3,0.68%,2,0.62%
Rotom-Wash,0.53%,2,0.45%,2,0.62%
Chesnaught,0.53%,3,0.68%,3,0.93%
Goodra,0.53%,3,0.68%,2,0.62%
Talonflame,0.51%,3,0.68%,3,0.93%
Pikachu,0.51%,4,0.90%,3,0.93%
Milotic,0.48%,3,0.68%,2,0.62%
Swampert,0.43%,3,0.68%,3,0.93%
Aron,0.42%,2,0.45%,2,0.62%
